,County,Candidate,Margin,Total votes,Biden vote approx,Trump vote approx,Biden Share,Trump Share,State,Relative Vote Total,b,r,g,rgb
0,Mobile,Trump,0.12,181783,79984.52,101798.48000000001,0.44,0.56,Alabama,1.0,0.44,0.56,0.44,"(0.56, 0.44, 0.44, 1.0)"
1,Dallas,Biden,0.38,17861,12324.089999999998,5536.91,0.69,0.31,Alabama,0.30960506330211024,0.69,0.31,0.31,"(0.31, 0.31, 0.69, 0.30960506330211024)"
2,Tuscaloosa,Trump,0.15,89760,38148.0,51611.99999999999,0.425,0.575,Alabama,1.0,0.425,0.575,0.425,"(0.575, 0.425, 0.425, 1.0)"
3,Chilton,Trump,0.67,19260,3177.8999999999996,16082.099999999999,0.16499999999999998,0.835,Alabama,0.3338555242818791,0.16499999999999998,0.835,0.16499999999999998,"(0.835, 0.16499999999999998, 0.16499999999999998, 0.3338555242818791)"
4,Jefferson,Biden,0.13,324675,183441.37499999997,141233.625,0.565,0.435,Alabama,1.0,0.565,0.435,0.435,"(0.435, 0.435, 0.565, 1.0)"
5,Madison,Trump,0.08,193955,89219.3,104735.70000000001,0.46,0.54,Alabama,1.0,0.46,0.54,0.46,"(0.54, 0.46, 0.46, 1.0)"
6,Shelby,Trump,0.41,114439,33759.505000000005,80679.495,0.29500000000000004,0.705,Alabama,1.0,0.29500000000000004,0.705,0.29500000000000004,"(0.705, 0.29500000000000004, 0.29500000000000004, 1.0)"
7,Baldwin,Trump,0.54,108945,25057.35,83887.65000000001,0.22999999999999998,0.7700000000000001,Alabama,1.0,0.22999999999999998,0.7700000000000001,0.22999999999999998,"(0.7700000000000001, 0.22999999999999998, 0.22999999999999998, 1.0)"
8,Montgomery,Biden,0.31,98476,64501.780000000006,33974.219999999994,0.655,0.3449999999999999,Alabama,1.0,0.655,0.3449999999999999,0.3449999999999999,"(0.3449999999999999, 0.3449999999999999, 0.655, 1.0)"
9,Lee,Trump,0.2,70980,28392.0,42588.0,0.4,0.6,Alabama,1.0,0.4,0.6,0.4,"(0.6, 0.4, 0.4, 1.0)"
10,Morgan,Trump,0.49,53482,13637.91,39844.09,0.255,0.7449999999999999,Alabama,0.9270644418298785,0.255,0.7449999999999999,0.255,"(0.7449999999999999, 0.255, 0.255, 0.9270644418298785)"
11,Calhoun,Trump,0.39,50743,15476.615,35266.385,0.305,0.6950000000000001,Alabama,0.8795862340932187,0.305,0.6950000000000001,0.305,"(0.6950000000000001, 0.305, 0.305, 0.8795862340932187)"
12,Limestone,Trump,0.43,48754,13894.890000000001,34859.11,0.28500000000000003,0.715,Alabama,0.8451086308846695,0.28500000000000003,0.715,0.28500000000000003,"(0.715, 0.28500000000000003, 0.28500000000000003, 0.8451086308846695)"
13,Etowah,Trump,0.5,47460,11865.0,35595.0,0.25,0.75,Alabama,0.822678254538836,0.25,0.75,0.25,"(0.75, 0.25, 0.25, 0.822678254538836)"
14,Houston,Trump,0.43,45750,13038.750000000002,32711.25,0.28500000000000003,0.715,Alabama,0.793036876214744,0.28500000000000003,0.715,0.28500000000000003,"(0.715, 0.28500000000000003, 0.28500000000000003, 0.793036876214744)"
15,St. Clair,Trump,0.64,44346,7982.28,36363.72,0.18,0.8200000000000001,Alabama,0.7686997445381211,0.18,0.8200000000000001,0.18,"(0.8200000000000001, 0.18, 0.18, 0.7686997445381211)"
16,Lauderdale,Trump,0.45,44149,12140.975,32008.024999999998,0.275,0.725,Alabama,0.7652849190820706,0.275,0.725,0.275,"(0.725, 0.275, 0.275, 0.7652849190820706)"
17,Cullman,Trump,0.77,41751,4801.365,36949.635,0.11499999999999999,0.885,Alabama,0.7237176528708585,0.11499999999999999,0.885,0.11499999999999999,"(0.885, 0.11499999999999999, 0.11499999999999999, 0.7237176528708585)"
18,Elmore,Trump,0.48,40891,10631.66,30259.34,0.26,0.74,Alabama,0.7088102930119584,0.26,0.74,0.26,"(0.74, 0.26, 0.26, 0.7088102930119584)"
19,Marshall,Trump,0.69,39492,6121.260000000001,33370.74,0.15500000000000003,0.845,Alabama,0.6845598320321895,0.15500000000000003,0.845,0.15500000000000003,"(0.845, 0.15500000000000003, 0.15500000000000003, 0.6845598320321895)"
20,Talladega,Trump,0.26,35591,13168.67,22422.33,0.37,0.63,Alabama,0.6169393543466438,0.37,0.63,0.37,"(0.63, 0.37, 0.37, 0.6169393543466438)"
21,Walker,Trump,0.68,31106,4976.959999999999,26129.04,0.15999999999999998,0.8400000000000001,Alabama,0.5391957392685427,0.15999999999999998,0.8400000000000001,0.15999999999999998,"(0.8400000000000001, 0.15999999999999998, 0.15999999999999998, 0.5391957392685427)"
22,DeKalb,Trump,0.7,29322,4398.300000000001,24923.7,0.15000000000000005,0.85,Alabama,0.5082716346310103,0.15000000000000005,0.85,0.15000000000000005,"(0.85, 0.15000000000000005, 0.15000000000000005, 0.5082716346310103)"
23,Autauga,Trump,0.45,27639,7600.725,20038.274999999998,0.275,0.7249999999999999,Alabama,0.4790982780699303,0.275,0.7249999999999999,0.275,"(0.7249999999999999, 0.275, 0.275, 0.4790982780699303)"
24,Blount,Trump,0.8,27459,2745.899999999999,24713.100000000002,0.09999999999999996,0.9000000000000001,Alabama,0.4759781329831837,0.09999999999999996,0.9000000000000001,0.09999999999999996,"(0.9000000000000001, 0.09999999999999996, 0.09999999999999996, 0.4759781329831837)"
25,Colbert,Trump,0.42,24668,7153.720000000001,17514.28,0.29000000000000004,0.71,Alabama,0.42759854999924163,0.29000000000000004,0.71,0.29000000000000004,"(0.71, 0.29000000000000004, 0.29000000000000004, 0.42759854999924163)"
26,Jackson,Trump,0.68,23602,3776.3199999999993,19825.68,0.15999999999999998,0.84,Alabama,0.40912035742995384,0.15999999999999998,0.84,0.15999999999999998,"(0.84, 0.15999999999999998, 0.15999999999999998, 0.40912035742995384)"
27,Coffee,Trump,0.53,22180,5212.299999999999,16967.7,0.23499999999999996,0.765,Alabama,0.3844712112446562,0.23499999999999996,0.765,0.23499999999999996,"(0.765, 0.23499999999999996, 0.23499999999999996, 0.3844712112446562)"
28,Russell,Biden,0.06,21108,11187.24,9920.76,0.53,0.47000000000000003,Alabama,0.3658890138391435,0.53,0.47000000000000003,0.47000000000000003,"(0.47000000000000003, 0.47000000000000003, 0.53, 0.3658890138391435)"
29,Tallapoosa,Trump,0.44,20888,5848.64,15039.359999999999,0.28,0.72,Alabama,0.36207550317756443,0.28,0.72,0.28,"(0.72, 0.28, 0.28, 0.36207550317756443)"
30,Dale,Trump,0.46,19699,5318.7300000000005,14380.27,0.27,0.73,Alabama,0.3414652114656665,0.27,0.73,0.27,"(0.73, 0.27, 0.27, 0.3414652114656665)"
31,Covington,Trump,0.68,17418,2786.8799999999997,14631.12,0.15999999999999998,0.8400000000000001,Alabama,0.3019260395608396,0.15999999999999998,0.8400000000000001,0.15999999999999998,"(0.8400000000000001, 0.15999999999999998, 0.15999999999999998, 0.3019260395608396)"
32,Lawrence,Trump,0.55,15957,3590.325,12366.675000000001,0.22499999999999998,0.775,Alabama,0.2766008619400802,0.22499999999999998,0.775,0.22499999999999998,"(0.775, 0.22499999999999998, 0.22499999999999998, 0.2766008619400802)"
33,Escambia,Trump,0.38,15861,4916.91,10944.089999999998,0.31,0.69,Alabama,0.27493678456048204,0.31,0.69,0.31,"(0.69, 0.31, 0.31, 0.27493678456048204)"
34,Chambers,Trump,0.16,15269,6412.98,8856.019999999999,0.42,0.58,Alabama,0.26467497405296014,0.42,0.58,0.42,"(0.58, 0.42, 0.42, 0.26467497405296014)"
35,Pike,Trump,0.17,13796,5725.34,8070.66,0.41500000000000004,0.585,Alabama,0.239141786759751,0.41500000000000004,0.585,0.41500000000000004,"(0.585, 0.41500000000000004, 0.41500000000000004, 0.239141786759751)"
36,Marion,Trump,0.78,13786,1516.4599999999998,12269.54,0.10999999999999999,0.89,Alabama,0.23896844536604286,0.10999999999999999,0.89,0.10999999999999999,"(0.89, 0.10999999999999999, 0.10999999999999999, 0.23896844536604286)"
37,Clarke,Trump,0.12,13102,5764.88,7337.120000000001,0.44,0.56,Alabama,0.22711189403640603,0.44,0.56,0.44,"(0.56, 0.44, 0.44, 0.22711189403640603)"
